time;section_name;reef_section;transect_id;point_id
Miocene;Tricase;back reef;TL3;Sediment
Miocene;Tricase;back reef;TL3;Sediment
Miocene;Tricase;back reef;TL3;Sediment
Miocene;Tricase;back reef;TL3;Sediment
Miocene;Tricase;back reef;TL3;Sediment
Miocene;Tricase;back reef;TL3;Sediment
Miocene;Tricase;back reef;TL3;Sediment
Miocene;Tricase;back reef;TL3;Sediment
Miocene;Tricase;back reef;TL3;Sediment
Miocene;Tricase;back reef;TL3;Sediment
Miocene;Tricase;back reef;TL3;Sediment
Miocene;Tricase;back reef;TL3;Sediment
Miocene;Tricase;back reef;TL3;Sediment
Miocene;Tricase;back reef;TL3;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL4;Sediment
Miocene;Tricase;back reef;TL5;Sediment
Miocene;Tricase;back reef;TL5;Sediment
Miocene;Tricase;back reef;TL5;Sediment
Miocene;Tricase;back reef;TL5;Sediment
Miocene;Tricase;back reef;TL5;Sediment
Miocene;Tricase;back reef;TL5;Sediment
Miocene;Tricase;back reef;TL5;Sediment
Miocene;Tricase;back reef;TL5;Sediment
Miocene;Tricase;back reef;TL5;Sediment
Miocene;Tricase;back reef;TL5;Sediment
Miocene;Tricase;back reef;TL5;Sediment
Miocene;Tricase;back reef;TL5;Sediment
Miocene;Tricase;back reef;TL5;Sediment
Miocene;Tricase;back reef;TL5;Sediment
Miocene;Tricase;back reef;TL5;Sediment
Miocene;Tricase;back reef;TL5;Sediment
Miocene;Tricase;back reef;TL5;Sediment
Miocene;Tricase;back reef;TL5;Sediment
Miocene;Tricase;back reef;TL5;Sediment
Miocene;Tricase;back reef;TL5;Sediment
Miocene;Tricase;back reef;TL5;Sediment
Miocene;Tricase;back reef;TL5;Sediment
